,0
0,"""Contextual Information"": Sentences that provide background, social, or current context relevant to the broader discussion within a news article."
1,"""Direct Quote"": A sentence that provides insight into an individual's thoughts or opinions through their exact words."
2,"""Emotional Reflection"": Sentences that express personal emotional responses, providing insight into feelings and perspectives related to specific events or experiences."
3,"""Primary Event Conclusion"": This sentence describes the main event and its outcome, serving as the document's central focus."
4,"""Performance Analysis"": This label characterizes sentences that provide interpretations, evaluations, and insights about the performance, prospects, and implications for individuals, teams, or events, often examining potential outcomes and broader contexts."
5,"""Illustrative Instance"": This sentence provides a specific example or illustration of a broader point or trend discussed in the article, often offering concrete details to support the narrative or argument."
6,"""Direct Quote"": A sentence that presents a direct statement from a person involved in the story, providing insight or perspective."
7,"""Contextual Information"": This sentence provides background or situational details that enhance understanding of the main event or topic, setting the stage for a broader discussion within the document."
8,"""Personal Background"": This sentence provides context about an individual's personal life, experiences, and connections, which inform their perspective and motivations on the topic or event discussed."
9,"""Protest Context"": This label encompasses sentences that provide background and current information relevant to understanding the motivations, circumstances, and impacts of protests mentioned in the articles."
10,"""Introductory Overview"": This sentence introduces the main topic of the article, providing a brief overview and context to set the stage for further discussion."
11,"""Supporting Perspective"": This sentence introduces or reinforces a viewpoint, often from an expert or relevant source, adding credibility and depth to the article's main argument or discussion."
12,"""Post-Event Details"": This sentence provides information or context about events, actions, outcomes, or developments that occurred after the main event, adding to the overall story or impact."
13,"""Event Analysis"": This involves providing detailed descriptions and elaborations on both main and specific events, focusing on their actions, circumstances, and resulting consequences within the narrative."
14,"""Article Introduction"": This sentence introduces the main topic or event of the article, setting the stage and providing context for the discussion that follows."
15,"""Defining Moment"": This sentence highlights a significant and pivotal point in an event or narrative that greatly impacts the outcome or evokes a strong emotional response."
16,"""Contextual Shift"": This label captures sentences that bridge general ideas to specific examples or discussions, facilitating a transition in narrative or argument by linking broader statements with detailed contexts or illustrations."
17,"""Content Analysis"": This category encompasses detailed examinations and critiques of various forms of media, including performances, music, films, books, and exhibitions, highlighting their themes, unique qualities, and contributions to broader cultural discussions."
18,"""Performance Context"": This sentence provides relevant background or historical information that helps to understand the team's or player's past or current performance in relation to the season's events and discussions."
19,"""Specific Issue"": This category encompasses sentences that describe particular challenges, problems, or grievances faced by individuals or groups, providing detailed insight into specific obstacles or areas of concern within a broader context."
20,"""Event Details"": These sentences provide specific and supportive information about various aspects of sports events, including performances, matchups, strategies, and rules, adding depth to the overall narrative and context."
21,"""Direct Quote"": A sentence that presents a direct quote from a relevant individual, providing insight into their thoughts, opinions, or perspective on a topic or event."
22,"""Event Sequence"": This sentence provides details about specific sequences of events within a game, including player actions, scores, and their impact on the game's progression and outcome."
23,"""Contextual Background"": Sentences that provide additional context, historical or current, which helps explain and understand the events, motivations, and implications relevant to the broader discussion or main event in the article."
24,"""Performance Statistic"": This sentence provides a specific statistic or example that supports a broader discussion or analysis of a player's or team's performance, adding depth and context to the article."
25,"""Direct Quote"": A sentence presenting a direct quote from a source that provides insight into their thoughts, opinions, or experiences."
26,"""Direct Quote"": A sentence that directly quotes a person or source, often providing insight, perspective, opinion, or additional context related to the topic."
27,"""Topic Transition"": This sentence signals a shift to a new topic or section within the article, connecting past content with upcoming ideas and maintaining the narrative flow."
28,"""Speculative Commentary"": This set of sentences involves introducing or expressing hypotheses, opinions, or educated guesses about the motivations, causes, or potential implications of events or situations, often without concrete evidence, adding depth and context to the narrative."
29,"""Supporting Information"": This category encompasses sentences that provide additional details, examples, or context to elaborate on or support a main event, claim, or discussion in news articles, often using data, specific examples, or quotes."
30,"""Future Events"": These sentences provide information about upcoming events, actions, or developments related to the topic of the article, offering context and details about what is next or anticipated."
31,"""Discourse Labels"": Classification of sentences based on their role within a news article's structure."
32,"""Contextual Background"": This sentence provides additional information about the setting, atmosphere, or circumstances surrounding events in the article, helping to establish the context and tone without directly advancing the main storyline."
33,"""Discourse Transition"": This label captures sentences that facilitate shifts in focus, tone, or perspective within an article, enabling the progression of discussion from one topic or analysis to another."
34,"""Contrasting Viewpoint"": This sentence offers an opposing or alternative perspective to a previous statement or argument, providing criticism, skepticism, or a nuanced understanding to add depth to the discussion."
35,"""Quoted Insight"": Sentences that either introduce or provide direct quotes from relevant individuals, often experts, to offer insight, perspective, or expertise on a topic being discussed."
36,"""Contrasting View"": This sentence offers an opposing perspective or detail that adds depth to the narrative, highlighting different aspects, strengths, or setbacks that counter the main event or preceding statement."
37,"""League Background"": Sentences providing context about the league's reputation relevant to the broader discussion."
38,"""Achievement Details"": This label encompasses sentences that provide specific details, examples, or supporting information about athletes' performances, achievements, and participation, adding depth and elaboration to their profiles and backgrounds."
39,"""Topic Transition"": This sentence introduces a new topic or subtopic, signaling a shift in the discussion and providing a connection between ideas."
40,"""Key Development"": This label encompasses sentences highlighting significant events, changes, or improvements that contribute to the progression or understanding of a story or topic within news articles, often marking turning points or notable achievements."
41,"""Contrastive Response"": Sentences that offer opposing perspectives, acknowledge criticisms, or provide alternative solutions, thereby adding nuance and complexity to the discourse."
42,"""Topic Shift"": This label encompasses sentences that signal a transition or shift in focus within a narrative, moving from one aspect of a discussion to another, such as from problem to solution, analysis to implementation, or from one part of the topic to another."
43,"""Contract and Transaction Details"": This label covers sentences that provide specific information about financial terms, player contracts, trades, and collaborative deals, offering detailed insights into various aspects of agreements in sports and legal contexts."
44,"""Opposing Team Context"": This label encompasses sentences that provide background information and context about the opposing team's strategy, performance, and key players to help understand the significance and challenges of the upcoming game or event."
45,"""Contextual Background"": This category encompasses sentences that provide additional information and perspective, situating events within a larger context to enhance understanding of their significance and broader implications."
46,"""Elaborative Detail"": This label encompasses sentences that provide additional information or specific details, supporting or elaborating on previous points or events, and adding depth and context to the narrative."
47,"""Performance Details"": These sentences provide various specific details, statistics, and examples about players' and teams' performances in basketball games, highlighting achievements, struggles, and key contributions."
48,"""Speculative Inquiry"": This group of sentences explores hypothetical scenarios, raises speculative questions, and introduces imaginary situations to engage the reader in considering various possibilities, outcomes, and perspectives on different subjects."
49,"""Direct Quote"": A sentence that provides a verbatim statement from a person or entity, offering insight into their thoughts, opinions, or feelings."
50,"""Direct Quote"": A statement from a person or source that provides insight, opinion, or reaction to the main event or topic."
51,"""Critical Assessment"": This encompasses sentences that provide evaluative commentary on various subjects, highlighting specific strengths, weaknesses, and potential shortcomings."
52,"""Direct Quote"": A statement from a source offering insight or perspective on the main topic."
53,"""Contrasting View"": A sentence that presents an opposing or alternative perspective, challenging the main argument or idea in the article and adding depth or nuance to the discussion."
54,"""Supporting Information"": These sentences provide specific details, data, examples, and additional information that reinforce and validate claims or arguments made within news articles, strengthening the overall narrative."
55,"""Primary Event"": This sentence describes a central event or issue, highlighting its significance as the focal point of the document."
56,"""Notable Highlight"": This sentence emphasizes a significant or impressive aspect, moment, or achievement within the event or topic, often highlighting exceptional performances or remarkable occurrences."
57,"""Supporting Evidence"": This sentence provides data, research findings, or examples to support a claim or argument made in the article, adding credibility and depth to the discussion."
58,"""Direct Quote"": A sentence that is a direct quotation from a person, providing insight or perspective on the topic."
59,"""Quote Contextualization"": This sentence provides additional context or explanation to a quote, helping to clarify or elaborate on the speaker's thoughts or feelings."
60,"""Contextual Background"": These sentences provide historical and current context, helping to establish the foundation, inspiration, and significance of the topics being discussed."
61,"""Direct Quote"": A sentence presenting a direct quote from a person involved in the story, offering insight into their thoughts or feelings."
62,"""Context Expansion"": These sentences provide additional information or background details to enhance the reader's understanding of the main event or subject discussed in the article."
63,"""Contextual Information"": This sentence provides background or contextual details to enhance understanding of the main topic, event, or trend being discussed in the article."
64,"""Contextual Information"": This description encompasses sentences that provide background or contextual details necessary to understand the current situation or main event in the discussion."
65,"""Headings Overview"": Sentences that serve as titles or section headers, introducing the main topics and themes of news articles."
66,"""Player Performance"": These sentences provide detailed information about individual players' performances in games, highlighting their skills, achievements, and contributions to their teams' success."
67,"""Quote Context"": This sentence sets the context for an upcoming quote, providing background or relevant information about the speaker or the subject."
68,"""Supporting Details"": This label encompasses sentences that provide additional information, examples, or context that elaborate on specific aspects of the main topic, helping to enhance understanding and support the overall narrative."
69,"""Contextual Information"": This collection of sentences provides relevant background and historical context about music groups, artists, and events, enhancing the reader's understanding of their development, significance, and current activities within the broader narrative."
70,"""Specific Performance"": This sentence provides specific details or examples about individual or team performances in sports events, illustrating skills, achievements, and contributions to the overall narrative."
71,"""Introductory Sentence"": This sentence serves to introduce the main topic or event of the article, setting the context and scene for the story that follows."
72,"""Background Context"": These sentences provide information that explains the background contributing to the situation, highlighting relevant aspects of the broader discussion within the document."
73,"""Contextual Information"": This set of sentences provides background and situational details that contribute to understanding the significance and development of the events discussed, making them relevant aspects of the broader narrative."
74,"""Counterpoint Arguments"": These sentences present opposing viewpoints or specific examples that challenge, rebut, or provide contrasting perspectives to previous claims, arguments, or assumptions within the text."
75,"""Introductory Sentences"": These sentences serve as the title or opening of the article, introducing the main topic or event and setting the tone, context, and scene for the rest of the document."
76,"""Direct Quote"": A sentence that provides a direct quote from a person, offering insight into their thoughts, feelings, or experiences."
77,"""Emotional Response"": This sentence describes and conveys the personal emotional reactions, feelings, and sentiments of individuals in response to events or situations in the article."
78,"""Additional Information"": This category encompasses sentences that provide further details, updates, or clarifications about previously mentioned events or topics, expanding on consequences, outcomes, future actions, or stakeholder perspectives."
