,0
0,"""Background Information"": This sentence provides additional context and background details that help explain and illuminate the broader discussion or main event of the article, highlighting the relevance and supporting the understanding of the topic."
1,"""Quote"": A direct statement from a person or source that provides insight into their thoughts or opinions."
2,"""Emotional Reflection"": This sentence provides insight into personal feelings and emotional responses, offering a subjective perspective on experiences and events."
3,"""Main Event"": This sentence directly describes a primary event, noting its conclusion, which is the focal point of the document."
4,"""Analysis"": This description summarizes sentences that provide interpretations, evaluations, and explanations of various teams', players', or events' performances and their implications for future outcomes."
5,"""Specific Example"": This sentence provides a specific instance or illustration of a broader point or trend discussed in the article, offering concrete details or evidence to support the author's argument or narrative."
6,"""Quote"": A sentence that is a direct quote from a person involved in the story, providing insight or perspective."
7,"""Contextual Background"": This sentence provides additional information that helps to understand the circumstances and environment surrounding the main event or topic, establishing a broader context and relevance within the discussion."
8,"""Personal Background"": This sentence provides background information about an individual's personal experiences, history, or connections, adding depth to their perspective or relevance to the main topic being discussed."
9,"""Background Information"": This sentence provides context and background that explains the motivations, circumstances, and reactions relevant to the event or protest discussed in the document, contributing to the understanding of the broader situation."
10,"""Introduction"": This sentence introduces the main topic of the article, providing a brief overview of the subject matter and setting the tone for the rest of the piece."
11,"""Supporting Opinion"": This sentence provides a perspective or opinion from a relevant expert, authority, or individual that supports and adds credibility to the main argument or viewpoint expressed in the article."
12,"""Post-Event Update"": This label encapsulates sentences that provide additional context, information, or highlights about the aftermath or outcomes following a main event, including details about impacts, reactions, or changes in standings and plans."
13,"""Main Event Details"": This sentence provides specific details and elaboration about a primary event, noting its consequences and significance as the focal point of the document."
14,"""Introduction"": This sentence introduces the main topic or event of the article, providing context and setting the stage for the discussion that follows."
15,"""Key Moment"": This sentence highlights a pivotal point in an event or narrative, significantly impacting the outcome and emotional engagement."
16,"""Transition"": This sentence serves as a transition, moving the discussion from a general concept to a specific example or analysis, often marking a shift in focus or introducing a new idea while connecting it to the previous content."
17,"""Analysis"": This compilation provides a detailed examination and interpretation of various subjects, including films, music albums, shows, novels, and exhibitions, highlighting their characteristics, themes, and impacts to offer insightful perspectives and evaluations."
18,"""Contextual Background"": This sentence provides background information and historical context essential for understanding and discussing current season events or performances."
19,"""Problem Description"": This sentence identifies and explains specific issues, challenges, or grievances faced by individuals or groups, providing detailed context and examples of the difficulties encountered."
20,"""Specific Detail"": This label encompasses sentences that provide detailed information about events, performances, or specific aspects within larger narratives, offering depth and context to the discussion."
21,"""Quote"": A sentence that presents a direct quote from a relevant individual, providing insight into their thoughts, opinions, or perspective on the topic."
22,"""Gameplay Description"": This sentence provides details about specific plays, sequences of events, player actions, and their impacts on the game's progression and outcome."
23,"""Context Information"": This sentence provides background and historical context relevant to understanding the current situation or event, helping to frame the broader discussion within the document."
24,"""Specific Statistic"": This sentence provides a specific statistic or example that supports a broader point or argument made in the article, adding depth, detail, and context to the discussion."
25,"""Quote"": A direct statement from an individual providing insight into their thoughts, perspective, or experience, often adding depth and context to the article."
