,prompt_11,prompt_13,prompt_20,prompt_5,prompt_11__with_quote_False,prompt_13__with_quote_False,prompt_20__with_quote_False,prompt_5__with_quote_False,url,sent_idx,sentences
0,Introduction,Introduction,Introduction,Background Information,Introduction,Introduction,Introduction,Background Information,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,0,"Not underestimating Cal is the focus of Wednesday’s practice

By Drake Lee November 03, 2022 at 2:11 am PDT

With their margin of error for making the playoffs slim, the No."
1,Main Event,Main Event,Main Event,Transition,Introduction,Main Event,Main Event,Background Information,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,1,9 USC Trojans are not taking their upcoming matchup against the California Golden Bears for granted.
2,Background Information,Background Information,Background Information,Background Information,Specific Detail,Background Information,Supporting Detail,Background Information,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,2,"The Golden Bears are 3-5 overall and 1-4 in the Pac-12, placing them second to last in the Pac-12 standings."
3,Specific Detail,Main Event,Introduction,Specific Detail,Main Event,Main Event,Main Event,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,3,"

One of the main concerns for the Trojans is freshman running back Jaydn Ott."
4,Specific Detail,Detail,Supporting Detail,Specific Detail,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,4,"One of On3 and the Athletic’s Midseason True Freshman All-Americans, Ott rushes for an average of 5.8 yards per carry and 84.4 yards per game, putting him in fourth place in the Pac-12 for rushing yards per game and sixth place for yards per carry."
5,Quote,Quote,Quote,Quote,Specific Detail,Detail,Analysis,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,5,"

Defensive coordinator Alex Grinch praised Ott’s breakout season. “["
6,Quote,Quote,Quote,Quote,Specific Detail,Detail,Elaboration,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,6,"Ott] flashes on film,” Grinch said. “"
7,Quote,Quote,Quote,Quote,Specific Detail,Detail,Analysis,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,7,Very explosive.
8,Quote,Quote,Quote,Quote,Specific Detail,Gameplay Description,Game Details,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,8,He runs hard and fast and hits home runs from a speed standpoint.”
9,Transition,Quote,Transition,Quote,Transition,Detail,Transition,Transition,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,9,"

Aside from Ott, Grinch recognized the potential of the Golden Bears’ offense. “["
10,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,10,"Cal] is very multiple on the offensive side between their run game and pass game,” Grinch said. “"
11,Quote,Quote,Quote,Quote,Specific Detail,Detail,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,11,"They’ll spread you out, and they have a quarterback with a big arm that made some explosive plays last week against Oregon.”"
12,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,Specific Detail,Supporting Evidence,Supporting Detail,Specific Detail,/2022/11/03/not-underestimating-cal-is-the-focus-of-wednesdays-practice/,12,"

The Trojans have allowed over 152.1 rushing yards per game and 4.7 yards per carry."
